book,full_name,first_name
The Last Wish,Abergard,Abergard
The Last Wish,"Abrad ""Jack-up-the-Skirt""",Abrad
The Last Wish,Adda of Temeria,Adda
The Last Wish,Adda the White,Adda
The Last Wish,Aen Saevherne,Aen
The Last Wish,Akerspaark,Akerspaark
The Last Wish,Aridea,Aridea
The Last Wish,Arthur Tailles,Arthur
The Last Wish,Audoen,Audoen
The Last Wish,Beau Berrant,Beau
The Last Wish,Bernika,Bernika
The Last Wish,Borg,Borg
The Last Wish,Bran Tuirseach,Bran
The Last Wish,Butcher of Blaviken,Butcher
The Last Wish,Calanthe,Calanthe
The Last Wish,Caldemeyn,Caldemeyn
The Last Wish,Carrypebble,Carrypebble
The Last Wish,Centurion (innkeeper),Centurion
The Last Wish,Cerberus,Cerberus
The Last Wish,Cerro,Cerro
The Last Wish,Chireadan,Chireadan
The Last Wish,Civril,Civril
The Last Wish,Crach an Craite,Crach
The Last Wish,Crach's mother,Crach
The Last Wish,Dalimira,Dalimira
The Last Wish,Dandelion,Dandelion
The Last Wish,Dennis Cranmer,Dennis
The Last Wish,Dezmod,Dezmod
The Last Wish,Dhun,Dhun
The Last Wish,Dragomir,Dragomir
The Last Wish,Draig Bon-Dhu,Draig
The Last Wish,Drogodar,Drogodar
The Last Wish,Eist Tuirseach,Eist
The Last Wish,Eltibald,Eltibald
The Last Wish,Emhyr var Emreis,Emhyr
The Last Wish,Ermellia,Ermellia
The Last Wish,Errdil,Errdil
The Last Wish,Eskel,Eskel
The Last Wish,Ethain,Ethain
The Last Wish,Evermir,Evermir
The Last Wish,Eylembert of Tigg,Eylembert
The Last Wish,Falwick,Falwick
The Last Wish,Fenne,Fenne
The Last Wish,Fialka,Fialka
The Last Wish,Fifteen,Fifteen
The Last Wish,Filavandrel aén Fidháil,Filavandrel
The Last Wish,Fodcat,Fodcat
The Last Wish,Foltest,Foltest
The Last Wish,Fredefalk Vellga,Fredefalk
The Last Wish,Galarr,Galarr
The Last Wish,Geoffrey Monck,Geoffrey
The Last Wish,Geralt of Rivia,Geralt
The Last Wish,Glutton,Glutton
The Last Wish,Haxo,Haxo
The Last Wish,Herbert Stammelford,Herbert
The Last Wish,Hereward,Hereward
The Last Wish,Heribert,Heribert
The Last Wish,Idi,Idi
The Last Wish,Ilka,Ilka
The Last Wish,Iola,Iola
The Last Wish,Irion,Irion
The Last Wish,Karelka,Karelka
The Last Wish,Krepp,Krepp
The Last Wish,Laurelnose,Laurelnose
The Last Wish,Lebioda,Lebioda
The Last Wish,Lenka,Lenka
The Last Wish,Libushe,Libushe
The Last Wish,Lille,Lille
The Last Wish,Lord Strept,Lord
The Last Wish,Mad Deï,Mad
The Last Wish,Marilka,Marilka
The Last Wish,Medell,Medell
The Last Wish,Mousesack,Mousesack
The Last Wish,Nan the Hag,Nan
The Last Wish,Nenneke,Nenneke
The Last Wish,Nettly,Nettly
The Last Wish,Neville,Neville
The Last Wish,Nimir,Nimir
The Last Wish,Nivellen,Nivellen
The Last Wish,Nohorn,Nohorn
The Last Wish,Ostrit,Ostrit
The Last Wish,Pavetta,Pavetta
The Last Wish,Primula,Primula
The Last Wish,Rainfarn,Rainfarn
The Last Wish,Ravix of Fourhorn,Ravix
The Last Wish,Renfri Vellga,Renfri
The Last Wish,Roach,Roach
The Last Wish,Roderick de Novembre,Roderick
The Last Wish,Roegner of Ebbing,Roegner
The Last Wish,Rulle Asper,Rulle
The Last Wish,Rumplestelt,Rumplestelt
The Last Wish,Sancia of Sodden,Sancia
The Last Wish,Segelin,Segelin
The Last Wish,Seven gnomes,Seven
The Last Wish,Silvena,Silvena
The Last Wish,Slow,Slow
The Last Wish,Stregobor,Stregobor
The Last Wish,Supree,Supree
The Last Wish,Tavik,Tavik
The Last Wish,The Last Wish minor characters,The
The Last Wish,Tinglant,Tinglant
The Last Wish,Torque,Torque
The Last Wish,Toruviel,Toruviel
The Last Wish,Treska,Treska
The Last Wish,Trigla,Trigla
The Last Wish,Triss Merigold,Triss
The Last Wish,Valdo Marx,Valdo
The Last Wish,Vanadain,Vanadain
The Last Wish,Velerad,Velerad
The Last Wish,Venimira,Venimira
The Last Wish,Vereena,Vereena
The Last Wish,Vesemir,Vesemir
The Last Wish,Virginia,Virginia
The Last Wish,Vissegerd,Vissegerd
The Last Wish,Vizimir II,Vizimir
The Last Wish,Vratimir,Vratimir
The Last Wish,Vridank,Vridank
The Last Wish,Vyr,Vyr
The Last Wish,Warder,Warder
The Last Wish,Wieldhill,Wieldhill
The Last Wish,Windhalm of Attre,Windhalm
The Last Wish,Yennefer of Vengerberg,Yennefer
The Last Wish,Zatret Voruta,Zatret
The Last Wish,Zavist,Zavist
The Last Wish,Zivelina,Zivelina
Sword of Destiny,Agloval,Agloval
Sword of Destiny,Akeretta,Akeretta
Sword of Destiny,Alvina,Alvina
Sword of Destiny,Arno Hardbottom,Arno
Sword of Destiny,Artaud Terranova,Artaud
Sword of Destiny,Atlan Kerk,Atlan
Sword of Destiny,Axel Esparza,Axel
Sword of Destiny,Beady-eyes,Beady
Sword of Destiny,Begonia Biberveldt,Begonia
Sword of Destiny,Boholt,Boholt
Sword of Destiny,Braenn,Braenn
Sword of Destiny,Brick,Brick
Sword of Destiny,Budibog,Budibog
